2019-09-11 08:35:24.253 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - Starting HrManageSpringBootApplication on ZWJ37B71FPB2GEN with PID 5456 (C:\Users\Administrator\Desktop\hrManage\target\classes started by Administrator in C:\Users\Administrator\Desktop\hrManage)
2019-09-11 08:35:24.256 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - No active profile set, falling back to default profiles: default
2019-09-11 08:35:24.295 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-09-11 08:35:24.296 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-09-11 08:35:25.473 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-09-11 08:35:25.487 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-09-11 08:35:25.496 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-09-11 08:35:25.496 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-09-11 08:35:25.591 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-09-11 08:35:25.591 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1295 ms
2019-09-11 08:35:25.995 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-11 08:35:26.045 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2019-09-11 08:35:26.192 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-09-11 08:35:26.231 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-09-11 08:35:26.258 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-09-11 08:35:26.260 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - Started HrManageSpringBootApplication in 2.628 seconds (JVM running for 3.667)
2019-09-11 08:35:38.197 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-09-11 08:35:38.198 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-09-11 08:35:38.209 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2019-09-11 08:35:38.658 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-09-11 08:35:38.880 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-09-11 08:42:48.076 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - Starting HrManageSpringBootApplication on ZWJ37B71FPB2GEN with PID 6076 (C:\Users\Administrator\Desktop\hrManage\target\classes started by Administrator in C:\Users\Administrator\Desktop\hrManage)
2019-09-11 08:42:48.092 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - No active profile set, falling back to default profiles: default
2019-09-11 08:42:48.201 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-09-11 08:42:48.201 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-09-11 08:42:49.153 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-09-11 08:42:49.168 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-09-11 08:42:49.168 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-09-11 08:42:49.168 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-09-11 08:42:49.262 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-09-11 08:42:49.262 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1061 ms
2019-09-11 08:42:49.683 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-11 08:42:49.730 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2019-09-11 08:42:49.855 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-09-11 08:42:49.870 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-09-11 08:42:49.902 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-09-11 08:42:49.902 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - Started HrManageSpringBootApplication in 2.325 seconds (JVM running for 2.937)
2019-09-11 08:42:55.006 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-09-11 08:42:55.006 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-09-11 08:42:55.011 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2019-09-11 08:42:55.276 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-09-11 08:42:55.472 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-09-11 09:16:31.596 [restartedMain] INFO  com.it.www.HrManageSpringBootApplication - Starting HrManageSpringBootApplication on ZWJ37B71FPB2GEN with PID 4608 (C:\Users\Administrator\Desktop\hrManage\target\classes started by Administrator in C:\Users\Administrator\Desktop\hrManage)
